Tanggal Kurs;Kurs
08/12/2015;1.34E-06
10/12/2015;5.28E-05
11/12/2015;1.49E-06
14/12/2015;9.85E-05
15/12/2015;6.11E-07
16/12/2015;1.14E-06
17/12/2015;2.46E-06
18/12/2015;8.13E-08
21/12/2015;0.000131515
22/12/2015;0.000349701
23/12/2015;4.53E-06
28/12/2015;1.34E-07
29/12/2015;1.94E-06
30/12/2015;9.82E-05
31/12/2015;5.26E-09
04/01/2016;5.53E-05
05/01/2016;5.62E-06
06/01/2016;2.39E-05
07/01/2016;3.56E-05
08/01/2016;2.68E-05
11/01/2016;1.92E-05
12/01/2016;5.19E-05
13/01/2016;3.53E-06
14/01/2016;1.33E-06
15/01/2016;4.20E-07
18/01/2016;1.05E-05
19/01/2016;5.16E-07
20/01/2016;3.23E-06
21/01/2016;4.66E-08
22/01/2016;3.24E-06
25/01/2016;4.69E-06
26/01/2016;1.87E-05
27/01/2016;5.65E-06
28/01/2016;1.68E-06
29/01/2016;9.61E-06
01/02/2016;0.000113925
02/02/2016;3.26E-05
03/02/2016;9.87E-05
04/02/2016;4.80E-05
05/02/2016;4.34E-07
09/02/2016;6.93E-06
10/02/2016;0.000123033
11/02/2016;0.000157803
12/02/2016;5.78E-05
15/02/2016;1.38E-07
16/02/2016;0.00011381
17/02/2016;0.000162404
18/02/2016;3.43E-06
19/02/2016;2.68E-05
22/02/2016;4.34E-05
23/02/2016;2.20E-05
24/02/2016;1.33E-05
25/02/2016;4.99E-06
26/02/2016;1.42E-06
29/02/2016;1.39E-07
01/03/2016;4.38E-06
02/03/2016;1.58E-05
03/03/2016;1.65E-05
04/03/2016;5.85E-05
07/03/2016;9.86E-05
08/03/2016;5.73E-05
10/03/2016;2.55E-06
11/03/2016;2.23E-05
14/03/2016;2.63E-05
15/03/2016;2.63E-05
16/03/2016;3.90E-05
17/03/2016;5.19E-08
18/03/2016;8.11E-05
21/03/2016;7.31E-05
22/03/2016;1.30E-06
23/03/2016;3.69E-07
24/03/2016;3.95E-05
28/03/2016;3.02E-05
29/03/2016;8.99E-06
30/03/2016;8.96E-08
31/03/2016;3.88E-05
01/04/2016;3.30E-05
04/04/2016;1.74E-05
05/04/2016;2.98E-05
06/04/2016;2.06E-07
07/04/2016;3.87E-06
08/04/2016;4.51E-06
11/04/2016;7.08E-06
